Name,Comment,Time,Likes,Reply Count
YoshiNguyen,Yay new vid,2022-07-08T04:24:21Z,0,0
Jexhasaki,Godam,2022-07-08T04:23:58Z,0,0
da,All hail Vanoss!!!,2022-07-08T04:23:44Z,1,0
Pootis Man,0:28 talk about frostbite,2022-07-08T04:22:57Z,1,0
Evan Thompson,Yuuuuuurrr,2022-07-08T04:21:31Z,0,0
ＭＡＲＶＩＮ,POPULARMMOS NOSTALGIA,2022-07-08T04:21:30Z,0,0
J L,Evan ;),2022-07-08T04:19:29Z,0,0
GGrouch 96,,2022-07-08T04:19:11Z,1,0
TechStomper,The bunger council has decided that this video is 10/10,2022-07-08T04:18:02Z,84,3
TechStomper,@Gonk bunger,2022-07-08T13:17:21Z,0,
Gonk,Bunger,2022-07-08T12:52:51Z,0,
a a,"Indeed, indeed.",2022-07-08T08:24:15Z,1,
안젤로패트릭,Sheeesh im early,2022-07-08T04:18:00Z,0,0
Owlreet,"3 dads, and Evan",2022-07-08T04:17:20Z,0,0
michael pugliese,:),2022-07-08T04:17:15Z,0,0
The Bean,All hail Vanoss,2022-07-08T04:16:36Z,0,0
Nigel Jones,Perfect timing 14:26,2022-07-08T04:14:53Z,70,1
WA,Too perfect,2022-07-10T11:31:22Z,0,
BigBlackQueen,Zamn 🥵 vanoss,2022-07-08T04:14:49Z,0,0
Mary Carl Dimaano,CLAIM KAZUHA and Vanoss,2022-07-08T04:13:57Z,0,0
IndoTheDragon,This is scuffed,2022-07-08T04:13:41Z,1,0
Dangelo,I loved this video,2022-07-08T04:10:17Z,0,0
Randomness Animation,Yay! Nostalgia!,2022-07-08T04:10:12Z,0,0
Vega,i feel like vanoss wants to be canceled lmao,2022-07-08T04:09:26Z,1,0
Olp DNA,i want more prophunt,2022-07-08T04:09:23Z,0,0
Cesar Tony,👍,2022-07-08T04:09:04Z,0,0
Kaycee Keessen,First hour,2022-07-08T04:08:24Z,0,0
Starlust,5:40 THAT AGED WELL XD,2022-07-08T04:07:24Z,74,3
WA,Yes,2022-07-10T11:35:18Z,0,
Raidriar,"@TerM12 they’re from the future, duh",2022-07-08T14:15:56Z,1,
TerM12,?,2022-07-08T08:54:04Z,4,
Deformed Sasuke,12min 🤣,2022-07-08T04:07:23Z,1,0
DummySpeaksRandomly,sick i got here early,2022-07-08T04:06:20Z,1,0
Kurisu,I ate some ramen earlier,2022-07-08T04:04:41Z,0,0
Coolio Davis,I love watching Vanoss at 12 am on a Friday,2022-07-08T04:04:28Z,319,8
loszes,we 7,2022-07-11T01:29:22Z,0,
Skeleton appears,we 6,2022-07-08T18:28:53Z,1,
Kevork Torossian,We 5,2022-07-08T17:17:49Z,1,
Big_Phil,legit me rn,2022-07-08T15:23:45Z,1,
BobaSauce,@Rares Rares we 4,2022-07-08T13:37:48Z,2,
Rares Rares,@a a we 3,2022-07-08T11:27:22Z,2,
a a,You & me both.,2022-07-08T08:23:20Z,4,
imdummy,i like the videos man,2022-07-08T04:03:17Z,0,0
Gavin Cunningham,Ayo 10 minutes? Earliest I’ve seen a video,2022-07-08T04:02:56Z,0,0
SaberGater,"BajanCanadian enter the server
JeromeASF enter the server
Vikkstar123 enter the server
PrestonPlayz enter the server",2022-07-08T04:02:55Z,0,0
TRG,✓✔️✅☑️,2022-07-08T04:02:54Z,0,0
jaxson guana,love your channel,2022-07-08T04:02:14Z,0,0
Brayden’s Fnaf world,Welcum,2022-07-08T04:02:13Z,0,0
Cory Norwood,1 hour card!,2022-07-08T04:02:11Z,0,0
Ethan Cohen,🙂,2022-07-08T04:02:08Z,0,0
Jose Puga,Such a great video,2022-07-08T04:01:56Z,1,0
RipTurnerr,Notiiiii,2022-07-08T04:01:46Z,0,0
LittleBigIan201,Yay I’m here early(8 minutes),2022-07-08T04:01:41Z,0,0
Arbid Rahman,215,2022-07-08T04:01:08Z,0,0
Fernando Renteria,mhhh makes since,2022-07-08T04:01:05Z,0,0
Spicy Refrigerator,💀,2022-07-08T04:00:19Z,0,0
Faze_banana96,It feels illegal to be here this early,2022-07-08T03:59:27Z,0,0
J Lozano,Nice,2022-07-08T03:59:19Z,0,0
Waddles,yay i'm early,2022-07-08T03:59:19Z,0,0
Vadim,“HORKIT!”,2022-07-08T03:59:00Z,0,0
P7ni,best series you've done,2022-07-08T03:58:33Z,4,0
Legoguy 67,I'm early...,2022-07-08T03:58:15Z,1,0
KaritoJutsu,childhood,2022-07-08T03:58:11Z,1,0
video bear 09,5 minutes ago zamn,2022-07-08T03:58:05Z,1,0
Wild Child26,Bro let's go more minecraft,2022-07-08T03:58:04Z,1,0
YouSpam,Yay mc,2022-07-08T03:58:03Z,1,0
jacobe,Bruh,2022-07-08T03:57:47Z,1,0
Blake Broeker,First video I’ve seen this early!,2022-07-08T03:57:30Z,1,0
SadBoyGhost_999,👋,2022-07-08T03:57:13Z,1,0
Gab,Early,2022-07-08T03:57:08Z,0,0
Gregory Boss,Can you play dying light?,2022-07-08T03:56:47Z,0,0
StupidMiguel,Empty,2022-07-08T03:56:41Z,0,0
Bryan Wiggins,193rd,2022-07-08T03:56:38Z,0,0
Cøsmo,Love the minecraft games dude keep it up!,2022-07-08T03:56:29Z,317,1
𝒔𝒕𝒓𝒊𝒏𝒈𝒍𝒊𝒏𝒌,popularmmos vibes,2022-07-08T03:56:02Z,2,0
Nikona Stuckley,189nth,2022-07-08T03:55:49Z,0,0
Bryant Sanders,Here Vanoss,2022-07-08T03:55:42Z,1,0
saiyanslayer56,Let's go notified in 1 minute,2022-07-08T03:55:41Z,0,0
Viper4ps,#Dasatoileeeeeeet,2022-07-08T03:55:37Z,1,0
Grayson Googins,👵🏿,2022-07-08T03:55:31Z,0,0
Aaroner,Howdy doody,2022-07-08T03:55:28Z,0,0
Gavin Wittmer,w,2022-07-08T03:55:25Z,0,0
Gavin Wittmer,w,2022-07-08T03:55:23Z,0,0
Gavin Wittmer,w,2022-07-08T03:55:21Z,0,0
Gavin Wittmer,w,2022-07-08T03:55:16Z,0,0
Gavin Wittmer,wd,2022-07-08T03:55:14Z,0,0
Lonely-K,Yessir! 🤪,2022-07-08T03:55:09Z,0,0
Aiim Dragon,The fog is coming run run run run,2022-07-08T03:54:55Z,0,0
Anthony gaming,Hello people,2022-07-08T03:54:52Z,0,0
Kindled Sooka,Earliest ive been in 10 years,2022-07-08T03:54:51Z,0,0
TTS.suacy,51st,2022-07-08T03:54:50Z,0,0
Ghost Gamer25,Feels very illegal commenting this early 🤣,2022-07-08T03:54:43Z,1,0
Sa1nt lyk,"like 2,546th on the video",2022-07-08T03:54:40Z,0,0
bob_77,Great vids but next vid can u play roblox or vr,2022-07-08T03:54:36Z,0,0
Joshua Rohrich,163,2022-07-08T03:54:36Z,0,0
A Raccoon,Lmao moo😂😂,2022-07-08T03:54:28Z,1,0
AbduqtionMF,Yur,2022-07-08T03:54:27Z,0,0
John Cruz,Amazing,2022-07-08T03:54:22Z,1,0
nate goulbourne,Hey we are all early vanoss notice us,2022-07-08T03:54:19Z,0,0
Zachary Gorilla,Ha,2022-07-08T03:54:18Z,0,0
Levi Barber,Less go vanoss,2022-07-08T03:54:18Z,0,0
David Larsen,Love your content!!,2022-07-08T03:54:17Z,9,0
Vy_Rim,s n o w.,2022-07-08T03:54:17Z,0,0
Zachary Johnson,Early ash,2022-07-08T03:54:09Z,0,0
Milliumen GP,❤️,2022-07-08T03:54:06Z,0,0
lockdown mc,在线职业培训 免费推荐高薪工作 疫,2022-07-08T03:54:05Z,0,0
Dylan Cruz,Great vid ,2022-07-08T03:54:02Z,0,0
Imdatboikris,Popularmmos vibe,2022-07-08T03:54:02Z,2,0
Tryston Pebley,cool,2022-07-08T03:53:59Z,0,0
